258	-11.1863	-0.667106	154.599	-0.295417	-0.0563027	0.953676	-3.14131	-3.14159	5.06079	0	-0.0254	
200680	-11.1827	-0.661471	154.601	-0.295804	-0.0569086	0.953453	-3.14131	-2.96291	5.19573	0	-0.0254	
401367	-11.3528	-2.3339	154.552	-0.284131	-0.105266	0.952888	-3.14131	-2.63887	5.22113	0	-0.0254	
601878	-10.6285	-4.26171	154.484	-0.2497	-0.165587	0.95394	-3.14131	-2.30247	5.21954	0	-0.0206375	
802438	-9.22636	-6.0655	154.602	-0.191183	-0.217371	0.957144	-3.14131	-1.95689	5.21478	0	-0.015875	
1002908	-6.94127	-7.07774	154.673	-0.116579	-0.249431	0.961204	-3.14131	-1.63026	5.20049	0	-0.0015875	
1203398	-4.426	-8.13867	154.642	-0.0305494	-0.265616	0.963473	-3.14131	-1.28525	5.19731	0	0.0015875	
1403969	-1.28253	-8.24372	154.8	0.0639618	-0.254087	0.965016	-3.14131	-0.947993	5.1989	0	0.0015875	
1604401	1.72742	-7.30013	154.823	0.15277	-0.21103	0.965422	-3.14131	-0.611887	5.1989	0	0.0015875	
1804954	4.31692	-5.53151	154.837	0.217873	-0.146681	0.964828	-3.14131	-0.274631	5.19731	0	0.003175	
2005431	5.8593	-3.36926	154.85	0.252974	-0.0725525	0.964598	-3.14131	0.0609014	5.19731	0	0.003175	
2205926	6.79249	-0.716809	154.849	0.259309	0.0115872	0.965566	-3.14131	0.397008	5.19731	0	0.003175	
2406571	6.67329	2.45946	154.853	0.23655	0.103501	0.965963	-3.14131	0.733689	5.19731	0	0.003175	
2607059	5.46331	5.57063	154.777	0.186288	0.182241	0.965353	-3.14159	1.07841	5.19731	0	0.003175	
2807585	3.60764	7.42215	154.855	0.116866	0.231257	0.965781	3.14131	1.41395	5.19731	0	0.003175	
3008046	1.29523	8.5358	154.85	0.0333568	0.253078	0.966749	3.14102	1.75063	5.19731	0	0.003175	
3208530	-1.7107	8.71356	154.781	-0.063454	0.245699	0.9672	3.14073	2.08817	5.19731	0.000287271	0.003175	
